"","correct_rating","component","concept","feedback","module","task","Element"
"1","Absent",1,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","The boy"
"2","Absent",2,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","was"
"3","Absent",3,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","outside"
"4","Accurate",1,2,"""Why is ""he"" accurate?"" - N&B Completeness rule for pronoun referents - ""Do not consider a main concept incomplete if there is no antecedent referent for a pronoun but the referent is clear from context/unambiguous. For example, if there is only one ""she"" or ""he"" or ""they"" in a picture, or only one figure is completing a specific action, the pronoun would be unambiguous without an antecedent referent.","1","broken_window","A/The boy"
"5","Accurate",2,2,"""Why is ""kicked"" acceptable when the main concept is ""The boy was playing soccer""?"" - See the checklist, this is an acceptable alternative; See N&B Accuracy rule for wording","1","broken_window","was playing"
"6","Accurate",3,2,"See the checklist, this is an acceptable alternative; See N&B Accuracy rule for wording","1","broken_window","soccer"
"7","Accurate",1,3,"""Why is ""it"" accurate?"" - N&B Completeness rule for pronoun referents - ""Do not consider a main concept incomplete if there is no antecedent referent for a pronoun but the referent is clear from context/unambiguous. ","1","broken_window","The ball"
"8","Accurate",2,3,"See the checklist, this is an acceptable alternative, similar to ""goes through""; See N&B Accuracy rule for wording","1","broken_window","breaks"
"9","Accurate",3,3,"See the checklist, this is listed as an acceptable alternative; See N&B Accuracy rule for wording","1","broken_window","window"
"10","Accurate",1,4,"See the checklist, this is listed as an acceptable alternative; See N&B Accuracy rule for wording
","1","broken_window","The man"
"11","Accurate",2,4,"Ignore ""couch"" because ""in a chair and/or inside the house"" is not essential for this concept; See N&B Accuracy rule for inaccurate [nonessential] words in accurate main concepts - ""If the essential information in a main concept is accurate, but inaccurate words also are included in the concept, consider the main concept accurate unless the inaccurate words alter essential information to make it inaccurate.","1","broken_window","is sitting"
"12","Absent",1,5,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","The man"
"13","Absent",2,5,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","was startled"
"14","Absent",1,6,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","The ball"
"15","Absent",2,6,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","broke"
"16","Absent",3,6,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","a lamp"
"17","Absent",1,7,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","The man"
"18","Absent",2,7,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","picked up"
"19","Absent",3,7,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","the ball"
"20","Absent",1,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","The man"
"21","Absent",2,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","looked"
"22","Absent",3,8,"This main concept is absent. No produced sentences match the essential elements for this concept.","1","broken_window","out of the window"
"23","Absent",1,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","The boy"
"24","Absent",2,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","was"
"25","Absent",3,1,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","outside"
"26","Accurate",1,2,"none","2","broken_window","A/The boy"
"27","Accurate",2,2,"none","2","broken_window","was playing"
"28","Accurate",3,2,"none","2","broken_window","soccer"
"29","Absent",1,3,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","The ball"
"30","Absent",2,3,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","breaks"
"31","Absent",3,3,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","window"
"32","Absent",1,4,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","The man"
"33","Absent",2,4,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","is sitting"
"34","Absent",1,5,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","The man"
"35","Absent",2,5,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","was startled"
"36","Accurate",1,6,"none","2","broken_window","The ball"
"37","Accurate",2,6,"none","2","broken_window","broke"
"38","Accurate",3,6,"none","2","broken_window","a lamp"
"39","Absent",1,7,"This main concept is absent. No produced sentences match the essential elements for this concept.","2","broken_window","The man"
